Modelo,R2_train,RMSE_train,R2_test,RMSE_test,MAE_test,MSE_test
linear_regression,0.6496648627123224,68433.93736666226,0.6254382675296264,70059.19333925017,50670.4892356536,4908290571.346436
polynomial_degree_2,0.7172399310290278,61480.687973092114,0.656061080120488,67134.24227446006,46385.631443809056,4507006485.765901
polynomial_degree_3,0.7810119361585292,54105.3114199734,0.2907635862910145,96404.86316673199,43248.10536767142,9293897642.196318
